FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	6D
BODY_NAMES	handball_6
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
112	0.37000	151.92066	1021.15504	1109.40627	-60.95711	-37.75854	124.33842	1.24108	-0.44596	0.09888	-0.88957	-0.65281	-0.71588	0.24769	-0.61234	0.69119	0.38381	
113	0.37333	151.91091	1020.36404	1109.50341	-61.05829	-37.78600	124.19132	1.26559	-0.44412	0.09896	-0.89049	-0.65371	-0.71546	0.24652	-0.61271	0.69161	0.38244	
114	0.37667	151.99815	1019.93615	1109.56444	-61.40525	-37.71756	123.92086	1.18517	-0.44144	0.09740	-0.89199	-0.65641	-0.71282	0.24701	-0.61177	0.69455	0.37860	
115	0.38000	150.84123	1020.23222	1109.45369	-62.21866	-38.20399	123.34451	1.74626	-0.43194	0.08860	-0.89754	-0.65645	-0.71330	0.24550	-0.61846	0.69524	0.36627	
116	0.38333	151.61900	1018.86262	1109.75028	-61.78397	-38.07127	123.61414	1.21260	-0.43582	0.09293	-0.89523	-0.65560	-0.71425	0.24502	-0.61664	0.69370	0.37221	
117	0.38667	151.44918	1017.80423	1109.98943	-61.60616	-38.42121	123.69887	1.25671	-0.43469	0.09231	-0.89584	-0.65181	-0.71865	0.24223	-0.62144	0.68921	0.37256	
118	0.39000	151.46294	1017.10396	1110.30351	-61.59263	-38.38551	123.66078	1.25003	-0.43447	0.09324	-0.89585	-0.65243	-0.71829	0.24165	-0.62095	0.68947	0.37291	
119	0.39333	149.89125	1017.65123	1109.98830	-62.77003	-39.13949	123.16752	1.74945	-0.42433	0.07596	-0.90232	-0.64924	-0.72014	0.24470	-0.63121	0.68966	0.35489	
120	0.39667	149.99216	1016.93457	1110.34486	-62.68048	-39.12662	123.22252	1.65139	-0.42503	0.07676	-0.90192	-0.64896	-0.72047	0.24450	-0.63104	0.68923	0.35603	
121	0.40000	149.89378	1016.33056	1110.63923	-62.75392	-39.23477	123.20002	1.67752	-0.42412	0.07517	-0.90248	-0.64812	-0.72121	0.24451	-0.63250	0.68862	0.35460	
122	0.40333	150.29546	1015.92029	1111.38467	-62.66518	-38.72573	123.02242	1.78350	-0.42516	0.08215	-0.90138	-0.65412	-0.71621	0.24325	-0.62559	0.69304	0.35824	
123	0.40667	149.59032	1015.29748	1111.36055	-62.99897	-39.33261	123.05296	1.78816	-0.42187	0.07252	-0.90375	-0.64830	-0.72096	0.24477	-0.63382	0.68917	0.35116	
124	0.41000	149.51106	1014.73035	1111.86047	-62.95230	-39.31767	123.15513	1.75435	-0.42311	0.07207	-0.90321	-0.64769	-0.72114	0.24587	-0.63362	0.68903	0.35180	
125	0.41333	149.37958	1014.26585	1112.37094	-62.83857	-39.31641	123.29555	1.73268	-0.42471	0.07210	-0.90246	-0.64666	-0.72179	0.24666	-0.63360	0.68834	0.35317	
126	0.41667	150.37467	1012.96223	1113.30481	-61.96180	-38.77631	123.79900	1.28384	-0.43368	0.08312	-0.89723	-0.64784	-0.72084	0.24636	-0.62628	0.68810	0.36646	
127	0.42000	150.46992	1012.31994	1113.91457	-61.82764	-38.66529	123.91215	1.26041	-0.43563	0.08454	-0.89615	-0.64799	-0.72048	0.24703	-0.62477	0.68831	0.36864	
128	0.42333	150.44345	1011.75165	1114.50174	-61.77818	-38.60980	123.97538	1.24683	-0.43668	0.08489	-0.89560	-0.64801	-0.72023	0.24769	-0.62401	0.68852	0.36952	
